S.No.,Name of Approval/ NOC/ License/ Permit/Registration,Name of Department,When is approval required,Minimum eligibility for availing the Service,As per which ACT/Rule or directive this NOC/Licence/Permit is necessary(including section),Validity of Approval/ NOC/ License/ Permit/Registration (Expiry Period),Procedure for applying (Manual/ Online),Website( In case of aplying online),Time limit (Issuance of Approval/ NOC/ License/ Permit/Registration after the application) ,"Authority responsible for issuance of this (NOC/
License/ Permit/ Registration)",Notified under Public Service Guarantee Act(Yes/No),"Any other Special Conditions (is there a relation with the Investment Amount, Employment No, Wages, Region, Taxes, etc.) the Investment Amount, Employment No., Wages, Region, Taxes, etc.)",Please list the type of Industry for which this approval is applicable
1,Registration of Shops & Establishments,Labour Department,Within 30 days from commencement of business activity.,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager",Madhya Pradesh Shops & Establishments Act 1958,5 Year.,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office,Yes,N.A.,"Service Industry
Shops and Establishment"
2,Renewal of Shops & Establishments,Labour Department,Within 30 days from expiration of the registration certificate,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager",Madhya Pradesh Shops & Establishments Act 1958,5 Year.,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office,Yes,N.A.,"Service Industry
Shops and Establishment"
3,Amendment in Registration Certificate of  Shops & Establishments ,Labour Department,Within 7 days of any change in the details of registration,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager",Madhya Pradesh Shops & Establishments Act 1958,5 Year.,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office,Yes,N.A.,"Service Industry(except those strike out)
Shops and Establishment"
4,Renewal with Amendment in Registration Certificate of  Shops & Establishments ,Labour Department,"Within 30 days of expiration of certificate or within 7 days of any change in the details of registration, whichever is early","1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager",Madhya Pradesh Shops & Establishments Act 1958,5 Year.,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office,Yes,N.A.,"Service Industry(except those strike out)
Shops and Establishment"
5,Licensing of Factories,Labour Department,15 days before Setting up of any factory / industry,Application can be filed by any “Occupier” of a factory / industry,"Factories Act, 1948",1 Year.,Online,http://www.mponline.gov.in,30 days,"Director, Industrial Health & Safety, Madhya Pradesh",Yes,N.A.,Manufacturing Industry
6,Renewal of License of Factories,Labour Department,Within 30 days of expiration of previous license,Application can be filed by any “Occupier” of a factory / industry,"Factories Act, 1948",1 to 10 year.,Online,http://www.mponline.gov.in,30 days,"IF Major Accident Hazard Factories, Director, Industrial Health & Safety, Madhya Pradesh ELSEIf No. of Workers >= 250, Director, Industrial Health & Safety, Madhya PradeshIf No. of Workers < 250 but >=101, Joint Director Industrial Health & Safety of the Zone If No. of Workers < 101 but >=10, Deputy Director Industrial Health & Safety of the DivisionIf No. of Workers <= 9, Deputy Director / Assistant Director Industrial Health & Safety of the Area",Yes,N.A., Manufacturing Industry
7,Amendment in License of Factories,Labour Department,When any change is needed in factory licence.,Application can be filed by any “Occupier” of a factory / industry,"Factories Act, 1948",Till the validity of present certificate.,Online,http://www.mponline.gov.in,30 days,"IF Major Accident Hazard Factories, Director, Industrial Health & Safety, Madhya Pradesh ELSEIf No. of Workers >= 250, Director, Industrial Health & Safety, Madhya PradeshIf No. of Workers < 250 but >=101, Joint Director Industrial Health & Safety of the Zone If No. of Workers < 101 but >=10, Deputy Director Industrial Health & Safety of the DivisionIf No. of Workers <= 9, Deputy Director / Assistant Director Industrial Health & Safety of the Area",Yes,N.A., Manufacturing Industry
8,"Licenses to Contractors under Contract Labour (Regulation and Abolition) Act, 1970",Labour Department,Before commencement of Contract work with at least 20 contract workers.,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager","Contract Labour (Regulation and Abolition) Act, 1970",1 Year,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office.,Yes,N.A.,"Manufacturing Industries, Service Industries, Shops and other Commercial Establishments (who employs 20 or more contract labour). "
9,"Renewal of Licenses to Contractors under Contract Labour (Regulation and Abolition) Act, 1970",Labour Department,30 days before expiration of last license.,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager","Contract Labour (Regulation and Abolition) Act, 1970",1 Year,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office.,Yes,N.A.,"Manufacturing Industries, Service Industries, Shops and other Commercial Establishments (who employs 20 or more contract labour). "
10,"Amendment in Licenses to Contractors under Contract Labour (Regulation and Abolition) Act, 1970",Labour Department,Whenever any changes occurs in the license.,"1.      No eligibility criteria fixed.
2.      Application to be submitted either by Proprietor / Owner / Partner / Director / Manager","Contract Labour (Regulation and Abolition) Act, 1970",1 Year,Online,www.labour.mp.gov.in,30 days,Respective Labour District Office.,Yes,N.A.,"Manufacturing Industries, Service Industries, Shops and other Commercial Establishments (who employs 20 or more contract labour). "
