S.No.,Name of Approval/ NOC/ License/ Permit/Registration,Name of Department,When is approval required,Minimum eligibility for availing the Service,As per which ACT/Rule or directive this NOC/Licence/Permit is necessary(including section),Validity of Approval/ NOC/ License/ Permit/Registration (Expiry Period),Procedure for applying (Manual/ Online),Website( In case of aplying online),Time limit (Issuance of Approval/ NOC/ License/ Permit/Registration after the application) ,"Authority responsible for issuance of this (NOC/
License/ Permit/ Registration)",Notified under Public Service Guarantee Act(Yes/No),"Any other Special Conditions (is there a relation with the Investment Amount, Employment No, Wages, Region, Taxes, etc.) the Investment Amount, Employment No., Wages, Region, Taxes, etc.)",Please list the type of Industry for which this approval is applicable
1,Fire NOC,Urban Development& Housing Department,Before Construction (Temporary NOC before starting of building construction and after completion of building construction/renewal of temporary NOC),,Under rules 86 of Madhya Pradesh Bhumi Vikas Niyam 2012 and National Building Code(Part 4),1 Year (Renewal),Online,www.mpenagarpalika.gov.in,60 days from the submission of proper application with required documents and renewal of NOC in 30 days.,Fire Officer/Collectorate,Yes,NA,
2,Building Construction Permisiion,Urban Development& Housing Department,Before Construction,As per the construction area,, 3 Years for construction to be started,online,www.mpenagarpalika.gov.in,30 days ,"upto 15000 SFT - Asst. Engineer                          15000-3000 SFT - Chief City Engineer
above3000 SFT- Additional Commissioner and above",Yes,, 
3,Tree Felling NOC,Urban Development& Housing Department,Before Cutting,NA,"Madhya Pradesh Vrikcshon ka Parirakashan Adhiniyam, 2001 & Madhya Pradesh Vrikcshon ka Parirakashan (Town area) Rules 2003",,online,www.mpenagarpalika.gov.in,30 days from the submission of proper application with required documents,"Commissioner Municipal Corporation for municipal corporation area
Chief Municipal officer for Municipality Area",,,
4,Water Connection through Municipal Corporation,Urban Development& Housing Department,Before Connection,Owner(Commercial/Residential),"Madhya Pradesh Municipal Corporation Act 1956
Madhya Pradesh Municipality Act 1961",Validity for Life Time (monthly/quarterly user charges to be paid),online,www.mpenagarpalika.gov.in,30 days ,Commissioner / Chief Municipal Officer,Yes,,
5,Issuing Colonizer licence,Urban Development and Environment,Before developing a colony,"Under Section 292-A the Madhya Pradesh Municipal Corporation Act 1956 & U/S 339-A of Madhya Pradesh Municipality Act 1961 and Rule 3 of Madhya Pradesh Municipality(Registration of Colonizer, Terms and Conditions) Rules 1998","Under Section 292-A the Madhya Pradesh Municipal Corporation Act 1956 & U/S 339-A of Madhya Pradesh Municipality Act 1961 and Rule 3 of Madhya Pradesh Municipality(Registration of Colonizer, Terms and Conditions) Rules 1998",,,,30 working days,"1-Commissioner Municipal Corporation
2-Collector for Municipality and Nagar Parishad",,,
6,Colony  Development Permission (Internal),Urban Development and Environment,Permission is necessary before colony development,"Under Section 292-B of the Madhya Pradesh Municipal Corporation Act 1956 & 339-A of Madhya Pradesh Municipality Act 1961 and Rule12 of Madhya Pradesh Municipality(Registration of Colonizer, Terms and Conditions) Rules 1998","Under Section 292-B of the Madhya Pradesh Municipal Corporation Act 1956 & 339-A of Madhya Pradesh Municipality Act 1961 and Rule12 of Madhya Pradesh Municipality(Registration of Colonizer, Terms and Conditions) Rules 1998",,,,30 working days,"1-Commissioner Municipal Corporation
2-Collector for Municipality and Nagar Parishad",,,
7,Layout approval (Under section 29) for private entities,Urban Development and Environment (TNCP),"Layout approval of area which is under development plan is required under provisions of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973","Under Section 29 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973","Under Section 29 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,60 days,District Officer of concerned District,Yes,,
8,"Development permission (Under Section 16) [It is required when development plan is not enforced, else Layout approval is required]",Urban Development and Environment (TNCP),"Plan area constituted under Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973, where present land use plan has been adopted Under Section 16","Under Section 16 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973","Under Section 16 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,60 days,District Officer of concerned District,Yes,,
9,Change in land use in Development / Zonal Plan ,Urban Development and Environment (TNCP),If change of land use is required in development plan for a Govt. Project,"Under Section 23 -a (1-a) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973","Under Section 23 -a (1-a) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,No timeline,State Govt.,,,
10,Merger or Division of Plots in approved layout plan, Urban Development and Environment (TNCP),Division of Plots for merger of Plots under approved lay out plan,"Under Section 30 (a) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973 read with Rule 22 of Madhya Pradesh Bhumi Vikas Niyam ,2012","Under Section 30 (a) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973 read with Rule 22 of Madhya Pradesh Bhumi Vikas Niyam ,2012",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,,District officer of the concerned District,,,
11,Environment Clearance,Urban Development and Environment (EPCO - SEIAA),"Activities endorsed in No. 1 to 8 in schedule of E. I. A notification, 2006, prior Environment Clearance is necessary to obtain","Under Section 3(3) of Environment (Protection) Act, 1986 and Climate Change. E. I. A notification dated 14.09.2006 2006 SO1533","Under Section 3(3) of Environment (Protection) Act, 1986 and Climate Change. E. I. A notification dated 14.09.2006 2006 SO1533",http://www.othentics.me/app/mpseiaa/prod/,Online,http://www.othentics.me/app/mpseiaa/prod/,Total 225 days as per E.I.A. Notification 2006,"Chairman, MP SEIAA",,,
12,Amendment in Layout approval,Urban Development and Environment (TNCP),If an amendment is proposed in Layout approval already issued,"Under Section 29(3) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973 read with Rule 14(3) of MP Bhumi Vikas Niyam 2012.","Under Section 29(3) of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973 read with Rule 14(3) of MP Bhumi Vikas Niyam 2012.",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,60 days,District Officer of concerned District,,,
13,Extension of time limit of development permission,Urban Development and Environment (TNCP),Extension of time limit of lay out plan approved U/S 30,"Under Section 33 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973","Under Section 33 of Madhya Pradesh Nagar Tatha Gram Nivesh Adhiniyam, 1973",http://mptownplan.nic.in/application.html,Online,http://mptownplan.nic.in/application.html,,"Director, Town & Country Planning",,,
